file,folder,label,mi,cc_avg,cc_max,halstead_volume,halstead_difficulty,halstead_effort,loc,sloc,lloc,lz_nloc,lz_cc_avg,lz_cc_max,lz_functions
428.py,files,Human,100.0,1.0,1,0,0,0,38,7,5,7,1.0,1,1
429.py,files,Human,69.54,2.0,2,4.75,0.5,2.38,25,6,7,6,2.0,2,1
43.py,files,Human,77.23,7.0,7,108.05,4.31,465.44,47,33,34,33,4.5,7,2
430.py,files,Human,100.0,1.0,1,0,0,0,16,3,4,3,1.0,1,1
431.py,files,Human,100.0,1.0,1,0,0,0,72,13,5,13,1.0,1,1
432.py,files,Human,66.63,2.0,2,4.75,0.5,2.38,26,6,7,6,2.0,2,1
433.py,files,Human,78.32,3.0,3,4.75,0.5,2.38,25,7,8,7,3.0,3,1
434.py,files,Human,85.12,3.0,3,4.75,0.5,2.38,62,23,14,23,3.0,3,1
435.py,files,Human,74.24,10.0,10,53.77,1.67,89.62,38,33,34,33,10.0,10,1
436.py,files,Human,65.33,5.0,5,68.53,1.0,68.53,64,19,20,19,5.0,5,1
437.py,files,Human,92.44,2.0,2,23.26,1.5,34.9,14,11,12,11,2.0,2,1
438.py,files,Human,61.76,5.0,5,62.27,0.6,37.36,14,13,14,13,4.0,4,1
439.py,files,Human,36.46,3.0,3,41.21,3.2,131.87,50,8,12,8,3.0,3,1
44.py,files,Human,63.18,2.0,2,72.0,2.0,144.0,13,11,12,11,2.0,2,1
440.py,files,Human,100.0,1.0,1,0,0,0,22,3,5,3,1.0,1,1
441.py,files,Human,54.52,2.0,2,4.75,0.5,2.38,23,3,4,3,2.0,2,1
442.py,files,Human,100.0,2.0,2,4.75,0.5,2.38,12,8,9,8,2.0,2,1
443.py,files,Human,67.98,2.0,2,2.0,0.5,1.0,37,4,5,4,2.0,2,1
444.py,files,Human,100.0,4.0,4,0,0,0,20,8,6,8,4.0,4,1
445.py,files,Human,100.0,1.0,1,0,0,0,8,5,3,5,1.0,1,1
446.py,files,Human,100.0,1.0,1,0,0,0,62,11,6,11,1.0,1,2
447.py,files,Human,100.0,2.0,2,0,0,0,24,4,6,4,2.0,2,1
448.py,files,Human,100.0,1.0,1,0,0,0,7,6,6,6,1.0,1,1
449.py,files,Human,100.0,1.0,1,0,0,0,7,6,6,6,1.0,1,1
45.py,files,Human,77.64,11.0,11,108.05,2.67,288.13,58,38,38,38,11.0,11,1
450.py,files,Human,100.0,1.0,1,0,0,0,13,4,4,4,1.0,1,1
451.py,files,Human,100.0,1.0,1,0,0,0,60,3,4,3,1.0,1,1
452.py,files,Human,100.0,2.0,2,0,0,0,39,9,10,9,2.0,2,1
453.py,files,Human,100.0,1.0,1,0,0,0,42,4,4,4,1.0,1,1
454.py,files,Human,97.25,2.0,2,2.0,0.5,1.0,17,6,6,6,2.0,2,1
455.py,files,Human,93.94,4.0,4,38.04,2.0,76.08,14,10,11,10,4.0,4,1
456.py,files,Human,100.0,1.0,1,0,0,0,17,4,6,4,1.0,1,1
457.py,files,Human,100.0,1.0,1,0,0,0,28,5,4,5,1.0,1,1
458.py,files,Human,92.72,2.0,2,2.0,0.5,1.0,16,5,5,5,2.0,2,1
459.py,files,Human,100.0,1.0,1,0,0,0,18,4,6,4,1.0,1,1
46.py,files,Human,100.0,4.0,4,0,0,0,23,16,16,16,3.0,4,2
460.py,files,Human,100.0,1.0,1,0,0,0,21,4,6,4,1.0,1,1
461.py,files,Human,100.0,2.0,2,11.61,1.0,11.61,9,6,7,6,2.0,2,1
462.py,files,Human,52.34,2.0,2,11.61,1.0,11.61,32,6,7,6,2.0,2,1
463.py,files,Human,100.0,1.0,1,0,0,0,15,3,4,3,1.0,1,1
464.py,files,Human,80.66,10.0,10,151.3,2.89,437.98,33,15,16,15,9.0,9,1
465.py,files,Human,89.39,6.0,6,55.35,2.86,158.15,20,13,15,13,6.0,6,1
466.py,files,Human,74.2,10.0,10,70.32,1.5,105.49,42,16,17,16,7.0,7,1
467.py,files,Human,71.57,7.0,7,38.05,2.0,76.11,37,12,13,12,6.0,6,1
468.py,files,Human,65.69,14.0,14,230.7,3.37,777.1,47,38,44,38,14.0,14,1
469.py,files,Human,73.41,8.0,8,53.77,1.67,89.62,55,19,20,19,6.0,6,1
47.py,files,Human,86.13,5.0,5,11.61,1.0,11.61,39,28,29,28,6.0,6,1
470.py,files,Human,73.5,14.0,14,541.54,7.5,4061.56,66,39,39,39,13.0,13,1
471.py,files,Human,100.0,1.0,1,0,0,0,7,4,5,4,1.0,1,1
472.py,files,Human,100.0,1.0,1,0,0,0,10,2,3,2,1.0,1,1
473.py,files,Human,80.82,3.0,3,24.0,1.5,36.0,13,4,5,4,3.0,3,1
474.py,files,Human,100.0,3.0,3,4.75,0.5,2.38,16,7,8,7,3.0,3,1
475.py,files,Human,100.0,1.0,1,0,0,0,13,3,4,3,1.0,1,1
476.py,files,Human,95.51,4.0,4,66.61,2.44,162.82,15,8,8,8,4.0,4,1
477.py,files,Human,78.89,10.0,10,274.02,5.18,1419.92,23,17,18,17,10.0,10,1
478.py,files,Human,100.0,2.0,2,0,0,0,7,4,5,4,2.0,2,1
479.py,files,Human,100.0,2.0,2,0,0,0,14,6,6,6,2.0,2,1
48.py,files,Human,86.34,7.0,7,143.96,5.62,809.77,29,16,17,16,7.0,7,1
480.py,files,Human,66.37,2.0,2,25.27,2.25,56.85,14,12,12,12,2.0,2,1
481.py,files,Human,100.0,1.0,1,0,0,0,10,2,3,2,1.0,1,1
482.py,files,Human,93.79,3.0,3,13.93,1.33,18.58,13,10,13,10,3.0,3,1
483.py,files,Human,100.0,1.0,1,0,0,0,11,3,3,3,1.0,1,1
484.py,files,Human,100.0,1.0,1,0,0,0,5,2,3,2,1.0,1,1
485.py,files,Human,100.0,3.0,3,4.75,0.5,2.38,17,8,8,8,3.0,3,1
486.py,files,Human,100.0,1.0,1,0,0,0,19,3,3,3,1.0,1,1
487.py,files,Human,100.0,1.0,1,0,0,0,18,3,4,3,1.0,1,1
488.py,files,Human,95.71,3.0,3,12.0,0.67,8.0,16,12,12,12,3.0,3,1
489.py,files,Human,95.18,3.0,3,12.0,0.67,8.0,17,13,12,13,3.0,3,1
49.py,files,Human,81.17,2.0,2,82.04,4.33,355.53,14,5,8,5,2.0,2,1
490.py,files,Human,100.0,1.0,1,0,0,0,9,4,4,4,1.0,1,1
491.py,files,Human,100.0,1.0,1,0,0,0,8,3,4,3,1.0,1,1
492.py,files,Human,98.98,2.0,2,2.0,0.5,1.0,10,4,5,4,2.0,2,1
493.py,files,Human,100.0,2.0,2,2.0,0.5,1.0,11,5,7,5,2.0,2,1
494.py,files,Human,100.0,1.0,1,0,0,0,16,4,5,4,1.0,1,1
495.py,files,Human,100.0,2.0,2,0,0,0,11,5,6,5,2.0,2,1
496.py,files,Human,88.16,4.0,4,36.54,1.5,54.81,18,14,13,14,4.0,4,1
497.py,files,Human,88.16,4.0,4,36.54,1.5,54.81,18,14,13,14,4.0,4,1
498.py,files,Human,73.95,12.0,12,132.96,3.71,492.75,109,64,60,64,5.0,13,3
499.py,files,Human,100.0,2.0,2,4.75,0.5,2.38,11,7,8,7,2.0,2,1
5.py,files,Human,87.55,2.0,2,15.51,1.0,15.51,13,4,5,4,2.0,2,1
50.py,files,Human,100.0,2.0,2,4.75,0.5,2.38,11,5,6,5,2.0,2,1
51.py,files,Human,100.0,1.0,1,0,0,0,7,4,5,4,1.0,1,1
52.py,files,Human,100.0,1.0,1,0,0,0,15,5,6,5,1.0,1,1
53.py,files,Human,100.0,1.0,1,0,0,0,12,4,5,4,1.0,1,1
54.py,files,Human,100.0,2.0,2,0,0,0,9,4,5,4,2.0,2,1
55.py,files,Human,100.0,1.0,1,0,0,0,11,4,5,4,1.0,1,2
56.py,files,Human,100.0,1.0,1,0,0,0,14,4,5,4,1.0,1,2
57.py,files,Human,100.0,1.0,1,0,0,0,12,4,5,4,1.0,1,2
58.py,files,Human,100.0,1.0,1,0,0,0,15,4,4,4,1.0,1,1
59.py,files,Human,100.0,1.0,1,0,0,0,10,4,4,4,1.0,1,1
6.py,files,Human,100.0,2.0,2,0,0,0,12,5,6,5,2.0,2,1
60.py,files,Human,51.64,2.0,2,13.93,1.33,18.58,19,3,4,3,1.0,1,1
61.py,files,Human,80.28,4.0,4,68.0,3.3,224.4,25,9,10,9,4.0,4,1
62.py,files,Human,82.05,8.0,8,142.7,7.27,1037.33,54,26,26,26,8.0,8,1
63.py,files,Human,72.33,3.0,3,169.46,3.68,623.01,31,11,12,11,3.0,3,1
64.py,files,Human,95.04,4.0,4,36.0,1.33,48.0,22,13,11,13,4.0,4,1
65.py,files,Human,100.0,1.0,1,0,0,0,16,5,4,5,1.0,1,1
66.py,files,Human,95.43,2.0,2,24.0,1.5,36.0,22,10,11,10,1.5,2,2
67.py,files,Human,79.52,6.0,6,190.2,5.47,1041.07,55,28,30,28,3.0,6,3
68.py,files,Human,100.0,1.0,1,0,0,0,11,2,3,2,1.0,1,1
69.py,files,Human,100.0,1.0,1,0,0,0,14,4,4,4,1.0,1,1
7.py,files,Human,92.56,2.0,2,4.75,0.5,2.38,14,5,6,5,2.0,2,1
70.py,files,Human,100.0,1.0,1,0,0,0,10,2,4,2,1.0,1,1
71.py,files,Human,84.93,2.0,2,43.02,2.0,86.04,34,23,21,23,2.5,4,4
72.py,files,Human,100.0,1.0,1,0,0,0,14,7,8,7,1.5,2,2
73.py,files,Human,100.0,1.0,1,0,0,0,16,8,9,8,1.5,2,2
74.py,files,Human,100.0,1.0,1,0,0,0,10,4,5,4,1.0,1,1
75.py,files,Human,100.0,2.0,2,0,0,0,29,13,14,13,2.0,2,2
76.py,files,Human,88.28,3.0,3,13.93,1.33,18.58,36,15,17,15,3.0,3,2
77.py,files,Human,100.0,1.0,1,0,0,0,33,9,10,9,1.5,2,2
78.py,files,Human,100.0,1.0,1,0,0,0,34,10,11,10,1.5,2,2
79.py,files,Human,84.03,4.0,4,110.36,4.91,541.77,51,24,22,24,2.67,4,3
8.py,files,Human,92.29,4.0,4,4.75,0.5,2.38,14,5,6,5,4.0,4,1
80.py,files,Human,78.99,2.0,2,4.75,0.5,2.38,15,4,6,4,2.0,2,1
81.py,files,Human,78.99,2.0,2,4.75,0.5,2.38,15,4,6,4,2.0,2,1
82.py,files,Human,100.0,1.0,1,0,0,0,8,2,4,2,1.0,1,1
83.py,files,Human,100.0,1.0,1,0,0,0,9,4,6,4,1.0,1,2
84.py,files,Human,65.11,23.0,23,872.77,10.18,8887.66,127,70,71,70,7.4,22,5
85.py,files,Human,97.53,1.0,1,13.93,0.5,6.97,19,11,12,11,1.67,2,3
86.py,files,Human,82.82,1.0,1,4.75,0.5,2.38,23,6,7,6,1.0,1,3
87.py,files,Human,74.22,1.0,1,4.75,0.5,2.38,18,4,6,4,1.0,1,2
88.py,files,Human,78.21,5.0,5,247.76,6.48,1604.52,60,27,29,27,4.0,5,2
89.py,files,Human,100.0,1.0,1,0,0,0,15,5,5,5,1.0,1,1
9.py,files,Human,100.0,1.0,1,0,0,0,17,5,6,5,1.5,2,2
90.py,files,Human,100.0,1.0,1,0,0,0,27,8,5,8,1.0,1,1
91.py,files,Human,100.0,1.0,1,0,0,0,15,4,4,4,1.0,1,1
92.py,files,Human,89.71,2.0,2,4.75,0.5,2.38,17,6,7,6,2.0,2,1
93.py,files,Human,80.29,2.0,2,2.0,0.5,1.0,49,15,16,15,3.0,4,2
94.py,files,Human,100.0,1.0,1,0,0,0,17,2,4,2,1.0,1,1
95.py,files,Human,95.3,1.0,1,13.93,0.5,6.97,26,12,13,12,2.33,3,3
96.py,files,Human,74.43,3.0,3,299.13,7.74,2315.5,69,44,41,44,6.0,9,2
97.py,files,Human,74.83,2.0,2,15.51,1.0,15.51,62,18,18,18,1.33,2,3
98.py,files,Human,100.0,1.0,1,0,0,0,16,6,6,6,1.0,1,2
99.py,files,Human,100.0,1.0,1,0,0,0,17,5,6,5,1.0,1,2
