file,folder,label,mi,cc_avg,cc_max,halstead_volume,halstead_difficulty,halstead_effort,loc,sloc,lloc,lz_nloc,lz_cc_avg,lz_cc_max,lz_functions,,,
human_407.py,human,Human,64.85,5,5,28.43,1.75,49.76,13,13,13,13,5,5,1,,,
human_408.py,human,Human,71.31,3,3,4.75,0.5,2.38,11,11,12,11,3,3,1,,,
human_409.py,human,Human,100,1,1,0,0,0,4,4,4,4,1,1,1,,,
human_41.py,human,Human,100,1,1,0,0,0,8,7,7,7,1,1,1,,,
human_410.py,human,Human,71.32,3,3,11.61,1,11.61,9,9,9,9,3,3,1,,,
human_411.py,human,Human,100,3,3,0,0,0,10,10,10,10,3,3,1,,,
human_412.py,human,Human,94.31,6,6,4.75,0.5,2.38,9,8,8,8,6,6,1,,,
human_413.py,human,Human,67.03,2,2,171.82,5.65,970.29,49,44,44,44,9,16,2,,,
human_414.py,human,Human,100,1,1,0,0,0,2,2,3,2,1,1,1,,,
human_415.py,human,Human,100,2,2,0,0,0,7,7,7,7,2,2,1,,,
human_416.py,human,Human,97.2,1,1,34.87,1,34.87,5,5,5,5,1,1,1,,,
human_417.py,human,Human,73.61,3,3,12,0.67,8,7,7,7,7,3,3,1,,,
human_418.py,human,Human,100,1,1,0,0,0,2,2,2,2,1,1,1,,,
human_419.py,human,Human,73.71,3,3,11.61,1,11.61,9,9,7,9,3,3,1,,,
human_42.py,human,Human,79.74,2,2,4.75,0.5,2.38,5,5,5,5,2,2,1,,,
human_420.py,human,Human,94.88,1,1,89.86,2.55,228.73,17,9,7,9,1,1,1,,,
human_421.py,human,Human,91.46,4,4,23.26,1.5,34.9,12,10,10,10,4,4,1,,,
human_422.py,human,Human,100,6,6,0,0,0,25,25,20,25,6,6,1,,,
human_423.py,human,Human,62.03,5,5,57.11,2.78,158.64,15,15,14,15,5,5,1,,,
human_424.py,human,Human,88.56,1,1,4.75,0.5,2.38,4,4,2,4,1,1,1,,,
human_425.py,human,Human,78.02,2,2,4.75,0.5,2.38,6,6,6,6,2,2,1,,,
human_426.py,human,Human,90.5,7,7,2,0.5,1,22,19,19,19,7,7,1,,,
human_427.py,human,Human,100,1,1,0,0,0,6,6,6,6,1,1,1,,,
human_428.py,human,Human,78.02,2,2,4.75,0.5,2.38,6,6,6,6,2,2,1,,,
human_429.py,human,Human,77.03,2,2,11.61,1,11.61,6,6,5,6,2,2,1,,,
human_43.py,human,Human,75.99,4,4,131.69,5.25,691.35,21,19,17,19,4,4,1,,,
human_430.py,human,Human,100,2,2,0,0,0,5,5,5,5,2,2,1,,,
human_431.py,human,Human,43.33,65,65,841.07,15,12616.07,165,161,142,161,65,65,1,,,
human_432.py,human,Human,78.43,5,5,102.19,2.46,251.54,14,13,11,13,5,5,1,,,
human_433.py,human,Human,87.95,6,6,178.81,4.17,745.06,11,9,8,9,6,6,1,,,
human_434.py,human,Human,51.48,32,32,222.91,5.05,1126.26,118,111,87,111,32,32,1,,,
human_435.py,human,Human,83.67,7,7,109.39,3.27,358.01,16,16,16,16,7,7,1,,,
human_436.py,human,Human,69.57,4,4,28.53,1.5,42.79,8,8,8,8,4,4,1,,,
human_437.py,human,Human,100,2,2,0,0,0,2,2,2,2,2,2,1,,,
human_438.py,human,Human,76.15,2,2,15.51,1,15.51,5,5,5,5,2,2,1,,,
human_439.py,human,Human,70.19,4,4,11.61,1,11.61,12,12,10,12,4,4,1,,,
human_44.py,human,Human,77.43,9,9,50.19,2.25,112.93,25,22,23,22,9,9,1,,,
human_440.py,human,Human,76.42,3,3,4.75,0.5,2.38,7,7,7,7,3,3,1,,,
human_441.py,human,Human,69.96,5,5,24,1.5,36,8,8,8,8,5,5,1,,,
human_442.py,human,Human,98.18,1,1,25.27,1.2,30.32,5,5,5,5,1,1,1,,,
human_443.py,human,Human,76.33,15,15,188.87,4.38,826.3,64,41,40,41,14,14,1,,,
human_444.py,human,Human,100,4,4,0,0,0,28,16,14,16,4,4,1,,,
human_445.py,human,Human,100,2,2,0,0,0,13,13,7,13,2,2,1,,,
human_446.py,human,Human,70.27,6,6,49.83,1.25,62.29,24,23,22,23,6,6,1,,,
human_447.py,human,Human,100,1,1,0,0,0,3,3,3,3,1,1,1,,,
human_448.py,human,Human,65.14,4,4,27,1.8,48.6,13,13,13,13,4,4,1,,,
human_449.py,human,Human,92.96,2,2,25.27,1.2,30.32,18,13,14,13,2,2,1,,,
human_45.py,human,Human,76.55,2,2,4.75,0.5,2.38,7,7,7,7,2,2,1,,,
human_450.py,human,Human,69.42,3,3,11.61,1,11.61,11,11,11,11,3,3,1,,,
human_451.py,human,Human,93.67,5,5,28.53,1.5,42.79,11,9,8,9,5,5,1,,,
human_452.py,human,Human,78.02,2,2,4.75,0.5,2.38,6,6,6,6,2,2,1,,,
human_453.py,human,Human,74.88,1,1,13.93,0.5,6.97,6,6,6,6,1,1,1,,,
human_454.py,human,Human,72.91,4,4,9.51,1,9.51,8,8,8,8,4,4,1,,,
human_455.py,human,Human,100,2,2,0,0,0,6,6,6,6,2,2,1,,,
human_456.py,human,Human,98.2,2,2,24,1.5,36,6,5,5,5,2,2,1,,,
human_457.py,human,Human,58.6,4,4,45,1.67,75,34,34,22,34,4,4,1,,,
